Name,Status,Players
42,beta,3-4
99 (trick-taking card game),public,3-4
Agony Aunt,alpha,4
Aurum,alpha,3-4
Bacon,beta,3-6
Barbu,public,3-5
Belote,public,4
Big Two,beta,2-4
Briscola,public,2-5
Calypso,beta,4
Caribbean All Fours,public,4
Cat in the Box: Deluxe Edition,alpha,2-5
Cheez-Tricks,beta,2-5
Chimera,alpha,3
Coinche,public,4
Coins,public,3
Crisps,beta,2
Cucumber,beta,2-8
Dou Dizhu,beta,2-3
ECK,beta,1
Enemy Anemone,alpha,2-6
Euchre,beta,2-4
Fai-fo,public,3-5
Fibonachos,alpha,2-5
Five Three Five,beta,2-6
French Tarot,public,3-5
German Whist,beta,2
Grosstarock,public,2-4
HUND,beta,2-5
Haggis,public,2-4
Hearts,public,3-8
Heckin Hounds,public,2-7
Herrlof,public,2-3
Hungarian Tarokk,public,4-6
Jekyll vs. Hyde,public,2
KQJ,public,6
Klaverjassen,public,4
Knockout Whist,beta,2-7
Las Vegan,public,2-5
Lunar,alpha,2 or 4
Mate,alpha,2
Megalomania,public,2-4
Mighty,beta,3-7
Mü,beta,4-6
Nap,beta,2-10
Oh Hell!,public,3-7
Oh-Seven,public,2-9
Onda,alpha,2-5
Papayoo,public,3-8
Pedro,public,4
Phat,public,4
Pinochle,beta,2-4
President,public,2-8
Qu4to,beta,2-5
Quintus,beta,5
Rage,public,3-8
Sasaki,beta,3-4
Schnapsen,beta,2
Sergeant Major,beta,3
Sheepshead,alpha,5
Skat,public,3
Slobberhannes,alpha,3-6
Solo Whist,public,4
Spades,public,4
Sparts,public,4
Spring Cleaning,alpha,2-5
Stonks,beta,2-5
Taroinche,alpha,5
The Crew,public,2-5
The Crew: Mission Deep Sea,public,2-5
The Fox in the Forest,alpha,2
The Fox in the Forest: Duet,alpha,2
The Last,alpha,2-5
Tichu,public,4
Tiến Lên,beta,2-4
Toepen,beta,2-8
TriATri,beta,2-4
Trick of the Rails,public,3-5
Twin Palms,public,2-5
Two-Ten-Jack,beta,2-8
Vidrasso,beta,2
Whist 22,public,2-7
Wizard,public,3-6
Yokai Septet,public,2-4
Écarté,beta,2
